event_attendence,event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,f1_record,f1_dob,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_record,f2_dob,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,winner
15128,November 25 2017,Alex Garcia,Muslim Salikhov,3,2,2,6,10,1,0,3,0,3.22,Welterweight,Rear Naked Choke,SUB,Record: 15-6-0,Jul 14 1987,5' 9,72,3.03,1.81,Orthodox,31,59,0.1,52,3.72,66,170,Record: 14-2-0,Jun 09 1984,5' 11,70,1.42,1.99,Orthodox,46,63,0,0,0,62,170,Alex Garcia
15128,November 25 2017,Zabit Magomedsharipov,Sheymon Moraes,10,1,3,34,18,1,0,11,0,4.3,Featherweight,Anaconda Choke,SUB,Record: 17-1-0,Mar 01 1991,6' 1,73,2.44,4.53,Orthodox,53,66,1,59,6.23,77,145,Record: 11-3-0,Oct 11 1990,5' 8,72,3.51,2.97,Orthodox,41,63,0,0,0,53,145,Zabit Magomedsharipov
15128,November 25 2017,Song Kenan,Bobby Nash,0,0,1,14,1,0,0,0,0,0.15,Welterweight,Punches,KO/TKO,Record: 14-5-0,Mar 10 1990,6' 0,71,5.52,4.28,Orthodox,45,54,0,0,0,50,170,Record: 8-4-0,Mar 26 1990,6' 0,74,3.95,3.42,Orthodox,37,51,1.6,33,2.37,100,170,Song Kenan
15128,November 25 2017,Yan Xiaonan,Kailin Curran,0,2,3,96,52,0,0,0,2,5,Women's Strawweight,,U-DEC,Record: 10-1-0 (1 NC),Jun 16 1989,5' 5,63,4.04,7.04,Orthodox,41,67,0,0,0,66,115,Record: 4-6-0,Apr 11 1991,5' 4,65,4.75,3.89,Orthodox,43,53,0.6,57,2,61,115,Yan Xiaonan
15128,November 25 2017,Song Yadong,Bharat Kandare,0,0,1,8,3,1,0,0,0,4.16,Featherweight,Guillotine Choke,SUB,Record: 14-4-0 (1 NC),Dec 02 1997,5' 8,67,2.91,4.31,Orthodox,41,67,1,100,1.54,100,135,Record: 5-3-0,Jun 20 1987,5' 7,72,1.88,0.7,Orthodox,10,72,0,0,0,0,135,Song Yadong
15128,November 25 2017,Shamil Abdurakhimov,Chase Sherman,0,0,1,6,5,0,0,0,0,1.24,Heavyweight,Punches,KO/TKO,Record: 19-4-0,Sep 02 1981,6' 3,76,2.24,2.44,Orthodox,45,60,0.2,26,1.5,66,235,Record: 11-6-0,Nov 16 1989,6' 4,78,5.76,5.81,Orthodox,43,51,0,0,0,77,250,Shamil Abdurakhimov
15128,November 25 2017,Gina Mazany,Wu Yanan,1,1,3,38,22,0,0,5,1,5,Women's Bantamweight,,U-DEC,Record: 5-3-0,Aug 19 1988,5' 6,68,2.84,2.72,Southpaw,49,50,0,77,3.18,20,135,Record: 10-2-0,Apr 18 1996,5' 8,66,2.89,2.11,Orthodox,45,49,0.8,33,0.79,37,125,Gina Mazany
15128,November 25 2017,Rolando Dy,Wuliji Buren,1,2,3,26,17,0,0,0,4,5,Featherweight,,U-DEC,Record: 9-7-1 (1 NC),Aug 11 1990,5' 8,69,4.47,3.04,Orthodox,37,52,0,20,0.3,68,145,Record: 10-7-0,Mar 01 1989,5' 9,69,2.96,1.63,Orthodox,42,56,0.4,42,3.38,71,135,Rolando Dy
15128,November 25 2017,Cyril Asker,Hu Yaozong,3,0,2,20,8,1,1,4,0,2.33,Heavyweight,Rear Naked Choke,SUB,Record: 9-4-0,Dec 24 1985,6' 0,74,5.82,3.35,Orthodox,39,35,0.9,62,4.41,100,247,Record: 3-2-0,Apr 07 1995,6' 3,72,5.23,4.43,Orthodox,52,38,0.7,0,0,0,205,Cyril Asker
17587,December 02 2017,Max Holloway,Jose Aldo,1,0,3,174,87,0,0,0,0,4.51,Featherweight,Punches,KO/TKO,Record: 20-4-0,Dec 04 1991,5' 11,69,4.33,6.93,Orthodox,45,63,0.5,83,0.29,83,155,Record: 28-4-0,Sep 09 1986,5' 7,70,2.97,3.53,Orthodox,44,66,0.2,68,0.71,92,145,Max Holloway
17587,December 02 2017,Francis Ngannou,Alistair Overeem,0,0,1,6,1,0,0,0,0,1.42,Heavyweight,Punch,KO/TKO,Record: 13-3-0,Sep 05 1986,6' 4,83,1.94,2.05,Orthodox,37,48,0.5,0,0,71,250,Record: 44-17-0 (1 NC),May 17 1980,6' 4,80,1.94,3.55,Orthodox,61,61,1,62,1.42,73,265,Francis Ngannou
17587,December 02 2017,Henry Cejudo,Sergio Pettis,3,0,3,36,25,0,0,3,0,5,Flyweight,,U-DEC,Record: 14-2-0,Feb 09 1987,5' 4,64,2.6,3.56,Orthodox,43,67,0.1,35,2.3,88,125,Record: 17-5-0,Aug 18 1993,5' 6,69,2.93,3.68,Orthodox,37,64,0.4,40,0.92,67,135,Henry Cejudo
17587,December 02 2017,Eddie Alvarez,Justin Gaethje,0,0,3,155,122,0,0,1,0,3.59,Lightweight,Knee,KO/TKO,Record: 29-6-0 (1 NC),Jan 11 1984,5' 9,69,4.39,4.32,Orthodox,41,55,0.5,36,2.92,92,155,Record: 20-2-0,Nov 14 1988,5' 11,70,10.23,8.5,Orthodox,54,53,0,0,0,80,155,Eddie Alvarez
17587,December 02 2017,Tecia Torres,Michelle Waterson,1,4,3,95,56,0,0,1,2,5,Women's Strawweight,,U-DEC,Record: 10-4-0,Aug 16 1989,5' 1,60,3.23,4.18,Orthodox,48,64,0.1,16,0.75,50,115,Record: 17-6-0,Jan 06 1986,5' 3,62,3.07,3.61,Orthodox,58,51,1.3,65,2.19,62,115,Tecia Torres
17587,December 02 2017,Paul Felder,Charles Oliveira,2,2,2,31,6,0,2,0,2,4.06,Lightweight,Elbows,KO/TKO,Record: 16-4-0,Apr 25 1984,5' 11,70,3.08,3.53,Orthodox,43,50,0.3,33,0.32,59,155,Record: 26-8-0 (1 NC),Oct 17 1989,5' 10,74,3.03,3.08,Orthodox,49,53,2.8,43,2.93,60,155,Paul Felder
17587,December 02 2017,Yancy Medeiros,Alex Oliveira,2,1,3,75,93,0,0,1,2,2.02,Welterweight,Punches,KO/TKO,Record: 15-6-0 (1 NC),Sep 07 1987,5' 10,75,5.21,3.99,Orthodox,35,46,0.6,33,0.14,74,155,Record: 19-5-1 (2 NC),Feb 21 1988,5' 11,76,2.01,3.08,Orthodox,54,44,0.9,37,3.19,58,170,Yancy Medeiros
17587,December 02 2017,David Teymur,Drakkar Klose,0,1,3,52,39,0,0,1,2,5,Lightweight,,U-DEC,Record: 8-2-0,May 01 1989,5' 9,73,3.53,4.69,Southpaw,43,55,0,33,0.94,77,155,Record: 10-1-1,Mar 09 1988,5' 9,70,3.33,3.45,Orthodox,50,56,0,30,1.6,70,155,David Teymur
17587,December 02 2017,Felice Herrig,Cortney Casey,1,0,3,76,91,0,0,1,0,5,Women's Strawweight,,S-DEC,Record: 14-8-0,Sep 18 1984,5' 4,65,4.89,3.69,Orthodox,36,50,0.9,30,1.2,76,115,Record: 8-7-0,May 05 1987,5' 7,67,4.73,4.8,Orthodox,38,53,0.5,30,0.35,38,115,Felice Herrig
17587,December 02 2017,Amanda Cooper,Angela Magana,9,0,2,40,12,1,0,1,0,4.34,Women's Strawweight,Punches,KO/TKO,Record: 4-5-0,Oct 22 1991,5' 3,64,3.2,3.55,Switch,44,51,1.8,38,1.53,28,115,Record: 11-9-0,Aug 02 1983,5' 1,65,4.92,1.53,,28,42,0.4,25,0.4,28,115,Amanda Cooper
17587,December 02 2017,Abdul Razak Alhassan,Sabah Homasi,0,0,1,27,39,0,0,1,0,4.21,Welterweight,Punches,KO/TKO,Record: 10-1-0,Aug 11 1985,5' 10,73,4.2,4.59,Orthodox,46,59,0,33,0.57,53,170,Record: 11-8-0,Oct 19 1988,6' 0,72,6.91,4.98,Orthodox,48,47,0,50,2.8,66,170,Abdul Razak Alhassan
17587,December 02 2017,Dominick Reyes,Jeremy Kimball,2,0,1,16,4,1,0,1,1,3.39,Light Heavyweight,Rear Naked Choke,SUB,Record: 11-0-0,Dec 26 1989,6' 4,77,2.27,5.05,Southpaw,52,58,0.4,16,0.4,85,205,Record: 15-8-0,Jan 03 1991,6' 0,72,3.84,2.81,Switch,46,49,0,20,1.41,50,205,Dominick Reyes
17587,December 02 2017,Justin Willis,Allen Crowder,0,0,1,22,15,0,0,0,0,2.33,Heavyweight,Punch,KO/TKO,Record: 8-2-0,Jul 19 1987,6' 1,78,2.57,3.37,Southpaw,59,57,0,66,0.96,36,264,Record: 10-3-0 (1 NC),Nov 08 1989,6' 3,76,2.81,2.97,Orthodox,51,58,1.2,33,1.86,100,245,Justin Willis
7605,December 09 2017,Brian Ortega,Cub Swanson,0,0,2,24,60,2,0,0,0,3.22,Featherweight,Guillotine Choke,SUB,Record: 14-1-0 (1 NC),Feb 21 1991,5' 8,69,7.36,4.07,Switch,33,50,1.4,16,0.51,56,145,Record: 25-10-0,Nov 02 1983,5' 8,70,3.28,4.16,Orthodox,49,62,0.5,52,1.17,60,145,Brian Ortega
7605,December 09 2017,Gabriel Benitez,Jason Knight,1,0,3,85,36,0,0,0,1,5,Featherweight,,U-DEC,Record: 21-7-0,Jun 15 1988,5' 8,71,2.6,4.23,Southpaw,42,73,1.6,100,0.23,56,145,Record: 20-6-0,Jul 14 1992,5' 10,71,3.02,2.95,Orthodox,33,51,1.7,31,1.31,47,145,Gabriel Benitez
7605,December 09 2017,Marlon Moraes,Aljamain Sterling,0,0,1,7,3,0,0,0,0,1.07,Bantamweight,Knee,KO/TKO,Record: 22-5-1,Apr 26 1988,5' 6,67,2.6,3.23,Orthodox,34,65,0.9,25,0.43,60,135,Record: 17-3-0,Jul 31 1989,5' 7,71,1.45,4.18,Orthodox,50,69,0.9,32,2.1,51,135,Marlon Moraes
