event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round_,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner,f1_dob,f1_record,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_dob,f2_record,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight
April 02 2004,UFC 47: It's On!,Yves Edwards,Hermes Franca,1,1,3,21,8,1,2,0,4,5,Lightweight,,S-DEC,Yves Edwards,Sep 30 1976,Record: 42-22-1 (1 NC),5' 9",73,2.34,2.91,Southpaw,42,66,0.7,53,0.76,69,155,Aug 26 1974,Record: 22-12-0 (1 NC),5' 6",71,2.85,1.78,Orthodox,39,55,2.4,36,1.53,37,155
April 02 2004,UFC 47: It's On!,Andrei Arlovski,Wesley Correira,0,0,2,51,4,0,0,0,0,1.15,Heavyweight,Punches,KO/TKO,Andrei Arlovski,Feb 04 1979,Record: 28-19-0 (2 NC),6' 3",77,2.69,3.55,Orthodox,44,59,0.3,36,0.52,79,240,Nov 11 1978,Record: 19-14-0,6' 3",null,8.8,2.6,Orthodox,36,40,0,0,0,90,260
April 02 2004,UFC 47: It's On!,Nick Diaz,Robbie Lawler,0,0,2,22,16,0,0,0,0,1.31,Welterweight,Punch,KO/TKO,Nick Diaz,Aug 02 1983,Record: 26-9-0 (2 NC),6' 1",76,3.56,5.43,Southpaw,42,61,1,33,1.32,60,185,Mar 20 1982,Record: 28-14-0 (1 NC),5' 11",74,4.16,3.57,Southpaw,45,60,0,66,0.71,65,170
April 02 2004,UFC 47: It's On!,Mike Kyle,Wes Sims,0,0,1,13,0,1,3,0,0,4.59,Heavyweight,Punch,KO/TKO,Mike Kyle,Mar 31 1980,Record: 19-9-1 (2 NC),6' 4",77,2.76,4.5,Orthodox,51,54,0.9,62,1.55,50,205,Aug 04 1979,Record: 22-13-1 (2 NC),6' 10",null,2.95,0.98,Orthodox,51,37,2.3,0,0,40,260
April 02 2004,UFC 47: It's On!,Jonathan Wiezorek,Wade Shipp,1,0,1,10,20,0,0,1,0,4.4,Heavyweight,Punches,KO/TKO,Jonathan Wiezorek,Feb 10 1978,Record: 11-2-0,6' 3",null,5.47,1.27,Southpaw,58,31,0,20,1.91,0,250,Feb 09 1975,Record: 10-5-0,6' 3",null,2.14,4.29,Orthodox,86,0,0,0,0,75,245
April 02 2004,UFC 47: It's On!,Genki Sudo,Mike Brown,0,1,1,6,13,4,0,1,1,3.31,Lightweight,Triangle Choke,SUB,Genki Sudo,Mar 08 1978,Record: 15-4-2,5' 9",null,2.23,1.55,Orthodox,39,33,4.2,60,3.58,50,155,Sep 08 1975,Record: 26-9-0,5' 6",70,2.45,2.98,Orthodox,44,60,0.6,40,3.23,66,145
June 19 2004,UFC 48: Payback,Ken Shamrock,Kimo Leopoldo,0,0,1,12,4,0,0,0,0,1.26,Heavyweight,Knee,KO/TKO,Ken Shamrock,Feb 11 1964,Record: 28-16-2,6' 1",72,4.3,1.47,Orthodox,46,39,2.5,60,0.94,44,205,Jan 05 1968,Record: 10-7-1,6' 3",null,2.12,0.76,Orthodox,83,30,2.3,100,4.55,0,235
June 19 2004,UFC 48: Payback,Frank Trigg,Dennis Hallman,0,0,1,20,1,0,2,0,0,4.15,Welterweight,Punches,KO/TKO,Frank Trigg,May 07 1972,Record: 21-9-0,5' 9",71,1.9,2.79,Southpaw,46,56,0.8,47,2.35,75,170,Dec 02 1975,Record: 67-14-2 (1 NC),5' 9",72,1.96,1.12,Orthodox,44,43,2.1,30,1.79,25,155
June 19 2004,UFC 48: Payback,Frank Mir,Tim Sylvia,0,0,1,3,2,1,0,0,1,0.5,Heavyweight,Armbar,SUB,Frank Mir,May 24 1979,Record: 18-11-0,6' 3",79,3.84,2.18,Southpaw,47,38,2,40,2.02,54,264,Mar 05 1976,Record: 30-7-0 (1 NC),6' 8",80,2.61,4.23,Orthodox,41,61,0.1,100,0.11,75,265
June 19 2004,UFC 48: Payback,Matt Hughes,Renato Verissimo,7,0,3,11,7,1,4,3,0,5,Welterweight,,U-DEC,Matt Hughes,Oct 13 1973,Record: 45-9-0,5' 9",73,1.36,2.14,Switch,53,53,1.2,50,2.95,35,170,Aug 03 1973,Record: 7-5-0 (1 NC),6' 1",null,1.87,0.92,Orthodox,48,47,2.5,30,1.46,50,170
June 19 2004,UFC 48: Payback,Evan Tanner,Phil Baroni,1,0,3,73,23,0,0,5,0,5,Middleweight,,U-DEC,Evan Tanner,Feb 11 1971,Record: 32-8-0,6' 0",74,2.64,3.05,Orthodox,59,56,1.3,43,2.55,25,185,Apr 16 1976,Record: 14-15-0,5' 9",72,3.93,2.77,Orthodox,45,40,0.5,47,1.46,60,170
June 19 2004,UFC 48: Payback,Matt Serra,Ivan Menjivar,16,0,3,14,8,0,2,6,0,5,Lightweight,,U-DEC,Matt Serra,Jun 02 1974,Record: 11-7-0,5' 6",68,2.64,1.98,Orthodox,39,46,0.9,20,2.05,38,170,May 30 1982,Record: 25-12-0,5' 6",64,2.76,2.78,Orthodox,37,65,1,28,0.56,38,145
June 19 2004,UFC 48: Payback,Georges St-Pierre,Jay Hieron,0,0,1,24,5,0,0,0,0,1.42,Welterweight,Punches,KO/TKO,Georges St-Pierre,May 19 1981,Record: 26-2-0,5' 11",76,1.4,3.78,Orthodox,53,72,1.1,74,4.16,83,185,Jul 29 1976,Record: 23-7-0,6' 0",75,1.89,1.66,Orthodox,32,61,1,60,4.05,66,170
June 19 2004,UFC 48: Payback,Trevor Prangley,Curtis Stout,4,0,2,12,5,2,0,2,0,1.05,Middleweight,Neck Crank,SUB,Trevor Prangley,Aug 24 1972,Record: 23-8-1,6' 1",75,2.02,2.59,Orthodox,60,48,1,55,3.38,74,185,Nov 07 1973,Record: 11-12-1,6' 1",null,3.2,0.69,Southpaw,67,29,0,0,0,20,185
August 21 2004,UFC 49: Unfinished Business,Randy Couture,Vitor Belfort,1,0,3,50,3,0,2,2,0,5,Light Heavyweight,,KO/TKO,Randy Couture,Jun 22 1963,Record: 19-11-0,6' 1",75,1.53,2.85,Orthodox,57,59,0.5,46,2.78,58,205,Apr 01 1977,Record: 26-14-0 (1 NC),6' 0",74,2.83,1.59,Southpaw,46,50,0.6,60,1.02,53,185
August 21 2004,UFC 49: Unfinished Business,Joe Riggs,Joe Doerksen,3,0,2,29,6,0,0,2,2,3.39,Middleweight,Elbows,KO/TKO,Joe Riggs,Sep 23 1982,Record: 41-17-0 (1 NC),6' 0",70,1.69,2.41,Southpaw,51,57,0.6,55,2.45,62,185,Oct 09 1977,Record: 47-16-0,6' 0",75,2.79,1.43,Orthodox,42,50,2.3,33,2.02,33,185
August 21 2004,UFC 49: Unfinished Business,Chuck Liddell,Vernon White,0,0,1,31,13,0,0,1,0,4.05,Light Heavyweight,Punch,KO/TKO,Chuck Liddell,Dec 17 1969,Record: 21-8-0,6' 2",76,2.71,2.97,Orthodox,35,56,0,75,0.44,81,205,Dec 03 1971,Record: 26-33-2,6' 0",null,2.2,2.11,Southpaw,38,54,0,28,0.88,44,205
August 21 2004,UFC 49: Unfinished Business,David Terrell,Matt Lindland,0,0,1,5,0,0,0,0,0,0.24,Middleweight,Punch,KO/TKO,David Terrell,Jan 09 1978,Record: 6-2-0,6' 1",null,2.71,2.34,Southpaw,63,37,5.5,50,5.54,0,185,May 17 1970,Record: 22-9-0,6' 0",74,1.56,2.62,Southpaw,50,52,1.3,48,3.01,60,185
August 21 2004,UFC 49: Unfinished Business,Justin Eilers,Mike Kyle,0,0,1,4,7,0,0,0,0,1.14,Heavyweight,Punch,KO/TKO,Justin Eilers,Jun 28 1978,Record: 19-7-1,6' 1",null,6.56,1.78,Orthodox,30,47,0,0,0,0,235,Mar 31 1980,Record: 19-9-1 (2 NC),6' 4",77,2.76,4.5,Orthodox,51,54,0.9,62,1.55,50,205
August 21 2004,UFC 49: Unfinished Business,Chris Lytle,Ronald Jhun,2,0,2,12,8,2,0,0,1,1.17,Welterweight,Guillotine Choke,SUB,Chris Lytle,Aug 18 1974,Record: 31-18-5,5' 11",68,3.03,3.76,Orthodox,45,58,2.4,55,0.7,55,170,Sep 21 1970,Record: 24-24-2,5' 11",null,3.01,1.45,Orthodox,57,50,0,100,1.81,100,170
August 21 2004,UFC 49: Unfinished Business,Karo Parisyan,Nick Diaz,1,2,3,27,37,0,2,9,1,5,Welterweight,,S-DEC,Karo Parisyan,Aug 28 1982,Record: 19-8-0 (1 NC),5' 10",72,2.19,2.49,Orthodox,41,58,1,59,5.27,59,170,Aug 02 1983,Record: 26-9-0 (2 NC),6' 1",76,3.56,5.43,Southpaw,42,61,1,33,1.32,60,185
August 21 2004,UFC 49: Unfinished Business,Yves Edwards,Josh Thomson,0,0,1,16,13,0,0,0,2,4.32,Lightweight,Kick,KO/TKO,Yves Edwards,Sep 30 1976,Record: 42-22-1 (1 NC),5' 9",73,2.34,2.91,Southpaw,42,66,0.7,53,0.76,69,155,Sep 21 1978,Record: 21-8-0 (1 NC),5' 10",71,2.12,2.59,Orthodox,47,64,1.3,39,1.92,54,155
October 22 2004,UFC 50: The War Of '04,Tito Ortiz,Patrick Cote,3,0,3,45,11,0,0,2,0,5,Light Heavyweight,,U-DEC,Tito Ortiz,Jan 23 1975,Record: 17-11-1,6' 3",74,2.88,2.59,Orthodox,46,60,0.6,35,2.47,54,205,Feb 29 1980,Record: 24-11-0,5' 11",71,3.21,2.81,Orthodox,48,48,0.2,20,0.68,43,170
October 22 2004,UFC 50: The War Of '04,Rich Franklin,Jorge Rivera,5,0,3,41,22,1,0,3,0,4.28,Middleweight,Armbar,SUB,Rich Franklin,Oct 05 1974,Record: 29-7-0 (1 NC),6' 1",75,2.07,4.1,Southpaw,44,62,0.7,66,1.31,63,185,Feb 28 1972,Record: 19-9-0,6' 1",73,2.64,3.16,Orthodox,48,54,0.1,50,0.84,63,185
